Category,Sub-category,Manufacturer,Product Title,Product Description,Quantity (Minimum Increments),Size,Color,Other Attribute,Contract #,Contract Price,Sale_Price,Qty_Per_UOI,Unit of Issue,FOB,SEV Code,PN,COO,Weight,Height,Shipping Designations,Image
Food Service,Kitchen Supplies,Carlisle,10 In.Dual Surf Scrub PPY Blue Carlisle Blue,10 In.Dual Surf Scrub PPY Blue Carlisle Blue. Must order in quantities of 12.,1,,,,GS-07F-0100W,14.68796469,13.21916822,1,EA,ORIGIN,SEV22,9J047-SEV22,US,,,,SEV22-9J047.jpg
Food Service,Kitchen Supplies,CARLISLE,14 - OptiClean NeWave 30-Compartment...,"SEV06A  Must order in increments of 3 - color: Carlisle Blue - holds 20% more glasses then comparable square compartmented glass racks - reduces storage space, labor, needed rack inventory, and chemical usage by up to 20% - rounded design h",1,,,,GS-07F-0100W,11.8186398,11.8086398,1,EA,ORIGIN,SEV06A,604300,US,,,,SEV06A-604300.jpg
Food Service,Kitchen Supplies,Carlisle,18 In. RED FM RBR SQUEGEE PLS FRAME Red,Order in Multiples of 10.  18 In. RED FM RBR SQUEGEE PLS FRAME Red,1,,,,GS-07F-0100W,2.105793451,2.095793451,1,EA,ORIGIN,SEV06A,4067400,US,,,,SEV06A-4067400.jpg
Food Service,Kitchen Supplies,CARLISLE,24 In. Microfiber Wet Mop Pad Blue,"SEV06A  Must order in increments of 12 - color: Blue - dries quicker, more thoroughly than foam - looped end microfiber reduces drag on floor - 5 HACCP friendly colors - - Length: 24.00 in - Country of Origin: -",1,,,,GS-07F-0100W,2.24,2.23,1,EA,ORIGIN,SEV06A,460603,US,,,,SEV06A-460603.jpg
Food Service,Kitchen Supplies,CARLISLE,24 In. Microfiber Wet Mop Pad Red,"SEV06A  Must order in increments of 12 - color: Red - dries quicker, more thoroughly than foam - looped end microfiber reduces drag on floor - 5 HACCP friendly colors - - Length: 24.00 in - Country of Origin: -",1,,,,GS-07F-0100W,50.76070529,50.75070529,1,EA,ORIGIN,SEV06A,4042403,US,,,,SEV06A-4042403.jpg
Food Service,Kitchen Supplies,CARLISLE SANITARY MAINTENANCE,36959500 MOP HANDLE QUICK-RELEASE60 In....,"BLACK, 60 In., VINYL COATED MATERIAL - - Flexible plastic head with the same great hinged gripper as the Sparta Spectrum Quik-Release(TM) Mop Handle - Grips any size mop band and secures it to the handle for optimum performance - Vinyl-coated metal 156",1,,,,GS-07F-0100W,38.02,38.01,1,EA,ORIGIN,SEV06A,34104423,US,,,,SEV06A-34104423.jpg
Food Service,Kitchen Supplies,CARLISLE,"3-Stitch Kitchen-Maid w/Blended Corn,...",SEV06A  Must order in increments of 12 - color: Straw - heavy-duty warehouse brooms have metal retaining bands and strong synthetic stitching - 41354 metal banded warehouse broom offers long-lasting use - commercial weight janitor brooms ha,1,,,,GS-07F-0100W,5.55163728,5.54163728,1,EA,ORIGIN,SEV06A,363321814,US,,,,SEV06A-363321814.jpg
Food Service,Kitchen Supplies,CARLISLE SANITARY MAINTENANCE,4002409 SPARTA SPECTRUM HAND SCRUB BRUSH,COLOR: GREEN (BRISTLES) HANDL 12262,1,,,,GS-07F-0100W,45.89420655,45.88420655,1,EA,ORIGIN,SEV06A,40347,US,,,,SEV06A-40347.jpg
Food Service,Kitchen Supplies,CARLISLE SANITARY MAINTENANCE,4042314 HI-LO BLUE FLOOR SCRUB BRUSH,"10 In. STIFF BRISTLES - Sparta Spectrum. Plastic blocks & synthetic bristles wash easily to prevent mold & mildew. Provides three brush surfaces to clean at different angles. Requires Acme threaded handle, sold separately: items #22273 (white), 22357(",1,,,,GS-07F-0100W,60.71536524,60.70536524,1,EA,ORIGIN,SEV06A,601045,US,,,,SEV06A-601045.jpg
Food Service,Kitchen Supplies,CARLISLE SANITARY MAINTENANCE,4052109 SPARTA SPECTRUM BRUSH…,SPARTA  Spectrum Cutting Board Brush GREEN BRISTLES - Color-coded to avoid cross-contamination. 1 3/8 In. long polyester bristles will not absorb food oils or moisture. White plastic block ergonomic handle won't crack or chip. 22122,1,,,,GS-07F-0100W,21.70277078,21.69277078,1,EA,ORIGIN,SEV06A,4073100,US,,,,SEV06A-4073100.jpg
